epoch,accuracy,loss,val_accuracy,val_loss
0,0.720989465713501,0.8581909537315369,0.865833580493927,0.4548032283782959
1,0.870726466178894,0.4069271683692932,0.8655047416687012,0.4000919461250305
2,0.8999013900756836,0.3100961446762085,0.8740546107292175,0.37526148557662964
3,0.9125575423240662,0.2617352306842804,0.8898388743400574,0.32243818044662476
4,0.9197074174880981,0.2355683147907257,0.9233804941177368,0.24467387795448303
5,0.9325279593467712,0.19903302192687988,0.9125287532806396,0.2677033543586731
6,0.9365549087524414,0.18372462689876556,0.8826044201850891,0.36826956272125244
7,0.9388560056686401,0.17349404096603394,0.9066096544265747,0.288686066865921
8,0.9483070373535156,0.15646013617515564,0.9141729474067688,0.27953097224235535
9,0.9471564888954163,0.15112769603729248,0.9095692038536072,0.25744369626045227
