epoch,accuracy,loss,val_accuracy,val_loss
0,0.7385765910148621,0.8300287127494812,0.852351188659668,0.471250057220459
1,0.8814102411270142,0.3786162734031677,0.8753699660301208,0.3780205547809601
2,0.9073799848556519,0.28642210364341736,0.865833580493927,0.4014810621738434
3,0.917817234992981,0.2358219027519226,0.8997040390968323,0.29976925253868103
4,0.9321170449256897,0.2015959471464157,0.9016770720481873,0.30432865023612976
5,0.9404996633529663,0.17744633555412292,0.9125287532806396,0.27268514037132263
6,0.9443622827529907,0.16180212795734406,0.9043077826499939,0.29731205105781555
7,0.9483892321586609,0.14349353313446045,0.9085826873779297,0.2992381751537323
8,0.9548816680908203,0.13097842037677765,0.9052942991256714,0.2972104251384735
9,0.9566896557807922,0.12813414633274078,0.905951976776123,0.30955299735069275
10,0.9599769711494446,0.115965835750103,0.9187766909599304,0.27815407514572144
11,0.9603056907653809,0.11456894874572754,0.9151594638824463,0.28482285141944885
12,0.9666337966918945,0.09751788526773453,0.9240381717681885,0.2616299092769623
13,0.9652366638183594,0.09728129208087921,0.9187766909599304,0.2949492037296295
14,0.968359649181366,0.09011881798505783,0.9243670105934143,0.26157817244529724
15,0.9730440378189087,0.08268537372350693,0.9289707541465759,0.2859519422054291
16,0.9712360501289368,0.081600621342659,0.9246958494186401,0.2770552337169647
17,0.9711538553237915,0.08008954674005508,0.9263400435447693,0.2809392213821411
18,0.9726331233978271,0.07719314843416214,0.921078622341156,0.31316378712654114
19,0.9738658666610718,0.07732903212308884,0.9135152697563171,0.3247874677181244
