epoch,accuracy,loss,val_accuracy,val_loss
0,0.6281229257583618,1.1398602724075317,0.8132193088531494,0.6478919982910156
1,0.7946252226829529,0.6555237174034119,0.830976665019989,0.5587760806083679
2,0.8291420340538025,0.5510329604148865,0.8556395769119263,0.49399644136428833
3,0.8415516018867493,0.5008182525634766,0.852351188659668,0.479724645614624
4,0.8504273295402527,0.4801877439022064,0.8628740310668945,0.45862096548080444
5,0.8550295829772949,0.45644310116767883,0.8710950613021851,0.43690308928489685
6,0.8569197654724121,0.4514515697956085,0.8832620978355408,0.41695258021354675
7,0.8629191517829895,0.4304283857345581,0.8872081637382507,0.3921373188495636
8,0.8593031167984009,0.42748570442199707,0.878987193107605,0.4183374047279358
9,0.865713357925415,0.41721582412719727,0.8881946802139282,0.3994928300380707
10,0.8623438477516174,0.4188987612724304,0.8937849402427673,0.37692105770111084
11,0.868096649646759,0.4075234830379486,0.8858928084373474,0.4001682698726654
12,0.8689184784889221,0.40624409914016724,0.8862216472625732,0.40294232964515686
13,0.870479941368103,0.402669221162796,0.8783295154571533,0.41236671805381775
14,0.8710552453994751,0.3944293260574341,0.8888523578643799,0.3852320611476898
15,0.8662886023521423,0.406301349401474,0.8868793249130249,0.38771623373031616
